In a layered approach to OS design, the bottom layer (layer 0) represents ________.	the hardware		
Describe 3 advantages of using a virtual memory scheme:	1. Programs can be larger than what would otherwise fit into physical memory. 2. Programmers are freed from the concerns of memory storage limitations. 3. Processes can share data and files easily (via shared virtual memory pages).		
Many virtual memory schemes are based on the concept of ________.	Demand paging		
List 3 elements of a program that may rarely be needed in memory:	1. Code for handling unusual error conditions. 2. Program data structures that are rarely filled entirely. 3. Code supporting options and features that may be used rarely.		
List 3 benefits of a system where programs can be partially loaded into memory:	1. Programs would not be constrained to the limits of physical memory. They could use an extremely large virtual address space managed by the operating system. 2. Each active process would require less memory to run, allowing for a greater degree of multiprogramming; this could improve CPU utilization and throughput. 3. Programs would not need to be swapped to disk as often, reducing the amount of I/O performed by the system.		
Briefly describe the concept of a virtual address space:	"With a virtual memory scheme, we introduce a logical memory space that is separate from the physical memory. This logical (or virtual) address space can be much larger than the system's physical memory constraints. For each process in the system, we define a new logical (virtual) address space beginning at some logical base address—normally address 0x00000000."		
On most architectures, the heap grows ________ in memory.	Upwards in memory		
On most architectures, the stack grows ________ in memory.	Downwards in memory.		
What is a sparse address space?	"A virtual address space that includes empty regions, or ""holes""."		
Virtual memory schemes allow different processes to share ________ and ________.	Files and memory (data).		
Explain 2 benefits of using page sharing to share data between processes:	"1. System libraries can be loaded into one location in memory and mapped into the virtual address spaces of several different processes. This alleviates the need to store multiple copies of the libraries in memory. 2. Using shared pages of memory, we can offer a faster means of process creation; a child process can be quickly set up to share its parent's virtual address space and mappings."		"Libraries are normally mapped read-only into each process's address space."
Briefly explain the concept of demand sharing:	A paging strategy in which pages are loaded into memory on-demand: pages are only loaded from disk when they are needed for execution. Pages that are never accessed are thus never loaded into memory.		
